Player,Year,GP,GS,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OFF,DEF,TRB,AST,STL,BLK,TOV,PF
Joel Embiid,2016-17,31,31,25.4,20.23,6.45,13.84,0.466,1.16,3.16,0.367,6.16,7.87,0.783,1.97,5.87,7.84,2.13,0.87,2.45,3.77,3.61
Luka Doncic,2017-18,63,63,30.4,22.94,8.1,16.76,0.483,1.05,3.4,0.308,5.7,7.41,0.769,2.27,8.68,10.95,3.16,0.63,1.76,3.71,3.32
Damian Lillard,2018-19,64,64,33.7,27.52,9.06,18.73,0.484,1.23,4.11,0.3,8.16,10.14,0.804,2.5,11.09,13.59,3.66,0.72,1.91,3.53,3.3
Shai Gilgeous-Alexander,2019-20,51,51,29.5,22.98,7.49,15.71,0.477,1.12,3.37,0.331,6.88,8.53,0.807,2.76,8.86,11.63,2.98,0.88,1.27,3.12,3.41
Giannis Antetokounmpo,2020-21,51,51,31.1,28.45,9.04,17.63,0.513,1.14,3.02,0.377,9.24,10.75,0.859,2.22,8.35,10.57,2.84,0.98,1.35,3.12,2.41
Jayson Tatum,2021-22,68,68,33.8,30.57,9.79,19.62,0.499,1.37,3.69,0.371,9.62,11.81,0.814,2.15,9.56,11.71,4.18,1.13,1.46,3.15,2.66
Stephen Curry,2022-23,66,66,34.6,33.08,11.03,20.12,0.548,1,3.03,0.33,10.02,11.68,0.857,1.71,8.44,10.15,4.15,1,1.7,3.42,3.11
Joel Embiid,2018-19,72,72,32.2,21.19,7.03,16.47,0.427,2.33,7.14,0.327,4.81,6.74,0.713,1.19,6.62,7.82,5.96,1.07,0.35,3.43,1.9
Luka Doncic,2019-20,61,61,33.6,28.84,9.52,20.57,0.463,2.8,8.87,0.316,6.98,9.21,0.758,1.28,8.11,9.39,8.82,1,0.23,4.26,2.51
Damian Lillard,2020-21,66,66,34.3,27.73,9.8,20.47,0.479,2.91,8.3,0.35,5.21,7.14,0.73,0.82,7.17,7.98,8.59,0.97,0.55,4.26,2.3
Shai Gilgeous-Alexander,2021-22,65,65,35.4,28.42,9.86,21.58,0.457,3.09,8.75,0.353,5.6,7.52,0.744,0.86,8.26,9.12,8.74,1.15,0.55,4.49,2.23
Giannis Antetokounmpo,2022-23,66,66,36.2,32.39,10.89,21.95,0.496,2.8,8.2,0.342,7.8,10.52,0.742,0.82,7.8,8.62,8.02,1.36,0.5,3.58,2.52
Joel Embiid,2012-13,82,82,38.6,19.05,6.74,15.71,0.429,2.26,6.13,0.368,3.3,3.91,0.844,0.51,2.62,3.13,6.48,0.9,0.23,2.96,2.1
Luka Doncic,2013-14,82,82,35.8,20.67,6.74,15.9,0.424,2.66,6.76,0.394,4.52,5.2,0.871,0.43,3.09,3.51,5.57,0.78,0.27,2.35,2.4
Damian Lillard,2014-15,82,82,35.7,20.98,7.2,16.59,0.434,2.39,6.98,0.343,4.2,4.85,0.864,0.6,4.01,4.61,6.18,1.18,0.26,2.71,2
Shai Gilgeous-Alexander,2015-16,75,75,35.7,25.05,8.24,19.65,0.419,3.05,8.13,0.375,5.52,6.19,0.892,0.6,3.43,4.03,6.83,0.87,0.37,3.23,2.2
Giannis Antetokounmpo,2016-17,75,75,35.9,26.99,8.81,19.84,0.444,2.85,7.72,0.37,6.51,7.27,0.895,0.61,4.29,4.91,5.87,0.91,0.27,2.63,2.03
Jayson Tatum,2017-18,73,73,36.6,26.88,8.51,19.38,0.439,3.11,8.62,0.361,6.75,7.37,0.916,0.85,3.6,4.45,6.59,1.07,0.37,2.82,1.6
Stephen Curry,2018-19,80,80,35.5,25.84,8.51,19.16,0.444,2.96,8.04,0.369,5.85,6.41,0.912,0.85,3.79,4.64,6.89,1.1,0.42,2.65,1.85
Kevin Durant,2019-20,66,66,37.5,29.97,9.45,20.44,0.463,4.09,10.21,0.401,6.97,7.85,0.888,0.5,3.8,4.3,8.03,1.06,0.33,2.94,1.73
LeBron James,2020-21,67,67,35.8,28.78,8.99,19.91,0.451,4.1,10.51,0.391,6.7,7.22,0.928,0.48,3.75,4.22,7.54,0.93,0.25,3.03,1.52
Donovan Mitchell,2021-22,29,29,36.4,23.97,7.66,19.03,0.402,3.17,9.79,0.324,5.48,6.24,0.878,0.45,3.69,4.14,7.31,0.59,0.38,2.86,1.28
Devin Booker,2022-23,58,58,36.3,32.17,9.59,20.72,0.463,4.21,11.34,0.371,8.79,9.62,0.914,0.76,4.02,4.78,7.33,0.86,0.31,3.29,1.88
Joel Embiid,2018-19,82,73,26.5,10.84,4.16,8.73,0.476,0.62,1.7,0.367,1.9,2.38,0.8,0.7,2.13,2.83,3.29,1.17,0.55,1.72,2.13
Luka Doncic,2019-20,70,70,34.7,19.01,6.83,14.5,0.471,1.24,3.59,0.347,4.11,5.1,0.807,0.67,5.21,5.89,3.31,1.13,0.67,1.91,1.67
Damian Lillard,2020-21,35,35,33.7,23.71,8.2,16.14,0.508,2.03,4.86,0.418,5.29,6.54,0.808,0.54,4.2,4.74,5.91,0.77,0.66,3.03,2
Shai Gilgeous-Alexander,2021-22,56,56,34.7,24.48,8.52,18.79,0.453,1.59,5.3,0.3,5.86,7.23,0.81,0.66,4.3,4.96,5.91,1.27,0.82,2.75,2.54
Giannis Antetokounmpo,2022-23,68,68,35.5,31.4,10.35,20.31,0.51,0.85,2.47,0.345,9.84,10.87,0.905,0.87,3.97,4.84,5.46,1.65,0.96,2.82,2.82
Joel Embiid,2013-14,77,23,24.6,6.82,2.25,5.43,0.414,0.53,1.53,0.347,1.79,2.62,0.683,1.01,3.39,4.4,1.95,0.78,0.79,1.58,2.25
Luka Doncic,2014-15,81,71,31.4,12.72,4.73,9.63,0.491,0.09,0.54,0.159,3.17,4.28,0.741,1.23,5.46,6.69,2.56,0.9,1.05,2.14,3.14
Damian Lillard,2015-16,80,79,35.3,16.88,6.41,12.66,0.506,0.35,1.36,0.257,3.7,5.11,0.724,1.41,6.24,7.65,4.31,1.18,1.41,2.6,3.23
Shai Gilgeous-Alexander,2016-17,80,80,35.6,22.9,8.2,15.74,0.521,0.61,2.25,0.272,5.89,7.65,0.77,1.77,6.97,8.75,5.42,1.64,1.89,2.92,3.08
Giannis Antetokounmpo,2017-18,75,75,36.8,26.85,9.89,18.69,0.529,0.57,1.87,0.307,6.49,8.55,0.76,2.08,7.96,10.04,4.81,1.45,1.41,2.97,3.08
Jayson Tatum,2018-19,72,72,32.8,27.69,10.01,17.32,0.578,0.72,2.82,0.256,6.94,9.53,0.729,2.21,10.26,12.47,5.89,1.28,1.53,3.72,3.22
Stephen Curry,2019-20,63,63,30.4,29.48,10.87,19.65,0.553,1.41,4.65,0.304,6.32,9.98,0.633,2.22,11.37,13.59,5.62,0.97,1.05,3.65,3.1
Kevin Durant,2020-21,61,61,33,28.15,10.26,18.03,0.569,1.1,3.62,0.303,6.52,9.52,0.685,1.59,9.41,11,5.85,1.18,1.2,3.39,2.75
LeBron James,2021-22,67,67,32.9,29.88,10.28,18.58,0.553,1.06,3.61,0.293,8.25,11.43,0.722,2,9.61,11.61,5.79,1.07,1.36,3.27,3.16
Donovan Mitchell,2022-23,63,63,32.1,31.1,11.22,20.29,0.553,0.75,2.71,0.275,7.9,12.25,0.645,2.17,9.6,11.78,5.7,0.83,0.81,3.9,3.13
Joel Embiid,2017-18,80,80,30.5,13.9,4.96,10.44,0.475,1.31,3.02,0.434,2.66,3.23,0.826,0.62,4.4,5.03,1.6,1.04,0.72,1.43,2.12
Luka Doncic,2018-19,79,79,31.1,15.73,5.9,13.11,0.45,1.47,3.94,0.373,2.47,2.89,0.855,0.89,5.15,6.04,2.13,1.06,0.72,1.54,2.13
Damian Lillard,2019-20,66,66,34.3,23.44,8.36,18.58,0.45,2.86,7.11,0.403,3.85,4.74,0.812,0.97,6,6.97,3.03,1.41,0.86,2.35,2.06
Shai Gilgeous-Alexander,2020-21,64,64,35.8,26.44,9.45,20.59,0.459,2.92,7.58,0.386,4.61,5.31,0.868,0.78,6.59,7.38,4.31,1.17,0.48,2.67,1.91
Giannis Antetokounmpo,2021-22,76,76,35.9,26.92,9.32,20.58,0.453,3.03,8.57,0.353,5.26,6.17,0.853,1.12,6.89,8.01,4.39,0.99,0.64,2.86,2.29
Jayson Tatum,2022-23,74,74,36.9,30.07,9.82,21.07,0.466,3.24,9.27,0.35,7.18,8.41,0.854,1.05,7.72,8.77,4.62,1.05,0.69,2.88,2.16
Joel Embiid,2009-10,80,77,36.2,17.49,6.6,14.29,0.462,2.08,4.75,0.437,2.21,2.5,0.885,0.6,3.85,4.45,5.9,1.9,0.24,3.04,3.15
Luka Doncic,2010-11,74,74,33.6,18.55,6.82,14.23,0.48,2.04,4.62,0.442,2.86,3.07,0.934,0.7,3.16,3.86,5.84,1.47,0.27,3.05,3.15
Damian Lillard,2011-12,26,23,28.1,14.73,5.58,11.38,0.49,2.12,4.65,0.455,1.46,1.81,0.809,0.58,2.81,3.38,5.31,1.5,0.31,2.5,2.38
Shai Gilgeous-Alexander,2012-13,78,78,38.2,22.9,8.03,17.79,0.451,3.49,7.69,0.453,3.36,3.73,0.9,0.76,3.27,4.03,6.91,1.62,0.15,3.08,2.54
Giannis Antetokounmpo,2013-14,78,78,36.5,24.01,8.36,17.73,0.471,3.35,7.88,0.424,3.95,4.46,0.885,0.59,3.69,4.28,8.54,1.64,0.18,3.77,2.49
Jayson Tatum,2014-15,80,80,32.7,23.75,8.16,16.76,0.487,3.58,8.07,0.443,3.85,4.21,0.914,0.7,3.56,4.26,7.74,2.04,0.2,3.11,1.98
Stephen Curry,2015-16,79,79,34.2,30.06,10.19,20.23,0.504,5.09,11.22,0.454,4.59,5.06,0.908,0.86,4.58,5.44,6.67,2.14,0.19,3.32,2.04
Kevin Durant,2016-17,79,79,33.4,25.3,8.54,18.27,0.468,4.1,9.99,0.411,4.11,4.58,0.898,0.77,3.7,4.47,6.63,1.8,0.22,3.03,2.32
LeBron James,2017-18,51,51,32,26.39,8.39,16.94,0.495,4.16,9.82,0.423,5.45,5.92,0.921,0.71,4.41,5.12,6.08,1.57,0.16,3,2.24
Donovan Mitchell,2018-19,69,69,33.8,27.26,9.16,19.42,0.472,5.13,11.74,0.437,3.81,4.16,0.916,0.65,4.7,5.35,5.23,1.33,0.36,2.78,2.41
Devin Booker,2019-20,5,5,27.9,20.8,6.6,16.4,0.402,2.4,9.8,0.245,5.2,5.2,1,0.8,4.4,5.2,6.6,1,0.4,3.2,2.2
Kyrie Irving,2020-21,63,63,34.2,31.98,10.44,21.67,0.482,5.35,12.71,0.421,5.75,6.27,0.916,0.46,5.02,5.48,5.76,1.22,0.13,3.38,1.89
Jaylen Brown,2021-22,64,64,34.6,25.47,8.36,19.12,0.437,4.45,11.72,0.38,4.3,4.66,0.923,0.53,4.7,5.23,6.31,1.33,0.36,3.22,2.03
Trae Young,2022-23,56,56,34.7,29.43,9.98,20.23,0.493,4.88,11.41,0.427,4.59,5.02,0.915,0.7,5.39,6.09,6.29,0.93,0.36,3.2,2.09
Joel Embiid,2007-08,80,80,34.6,20.3,7.34,17.07,0.43,0.74,2.56,0.288,4.89,5.6,0.873,0.88,3.48,4.35,2.4,0.97,0.94,2.9,1.52
Luka Doncic,2008-09,74,74,39,25.28,8.93,18.78,0.476,1.31,3.11,0.422,6.11,7.08,0.863,1.04,5.47,6.51,2.77,1.3,0.72,3.04,1.81
Damian Lillard,2009-10,82,82,39.5,30.15,9.68,20.34,0.476,1.56,4.28,0.365,9.22,10.24,0.9,1.28,6.32,7.6,2.82,1.37,1.02,3.3,2.09
Shai Gilgeous-Alexander,2010-11,78,78,38.9,27.71,9.12,19.72,0.462,1.86,5.31,0.35,7.62,8.65,0.88,0.73,6.1,6.83,2.74,1.13,0.97,2.79,2.04
Giannis Antetokounmpo,2011-12,66,66,38.6,28.03,9.74,19.65,0.496,2.02,5.21,0.387,6.53,7.59,0.86,0.61,7.38,7.98,3.5,1.33,1.17,3.76,2.02
Jayson Tatum,2012-13,81,81,38.5,28.15,9.02,17.69,0.51,1.72,4.12,0.416,8.38,9.26,0.905,0.57,7.33,7.9,4.62,1.43,1.3,3.46,1.77
Stephen Curry,2013-14,81,81,38.5,32.01,10.48,20.84,0.503,2.37,6.06,0.391,8.68,9.94,0.873,0.72,6.67,7.38,5.49,1.27,0.73,3.52,2.15
Kevin Durant,2014-15,27,27,33.8,25.41,8.81,17.3,0.51,2.37,5.89,0.403,5.41,6.33,0.854,0.59,6,6.59,4.07,0.89,0.93,2.74,1.48
LeBron James,2015-16,72,72,35.8,28.18,9.69,19.18,0.505,2.58,6.67,0.388,6.21,6.92,0.898,0.62,7.56,8.18,5.01,0.96,1.18,3.47,1.9
Donovan Mitchell,2016-17,62,62,33.4,25.08,8.89,16.55,0.537,1.89,5.03,0.375,5.42,6.19,0.875,0.63,7.65,8.27,4.84,1.06,1.6,2.23,1.89
Devin Booker,2017-18,68,68,34.2,26.35,9.26,17.97,0.516,2.54,6.07,0.419,5.28,5.94,0.889,0.46,6.37,6.82,5.38,0.74,1.75,3.04,1.96
Kyrie Irving,2018-19,78,78,34.6,25.99,9.24,17.73,0.521,1.76,4.97,0.353,5.74,6.49,0.885,0.42,5.95,6.37,5.86,0.74,1.08,2.88,1.99
Jaylen Brown,2020-21,35,32,33,26.94,9.26,17.23,0.537,2.43,5.4,0.45,6,6.8,0.882,0.37,6.69,7.06,5.57,0.71,1.29,3.43,2
Trae Young,2021-22,55,55,37.2,29.87,10.51,20.27,0.518,2.09,5.45,0.383,6.76,7.44,0.91,0.53,6.87,7.4,6.38,0.87,0.95,3.47,2.05
Ja Morant,2022-23,47,47,35.6,29.06,10.28,18.34,0.56,1.98,4.89,0.404,6.53,7.11,0.919,0.36,6.3,6.66,5,0.72,1.43,3.32,2.11
Joel Embiid,2003-04,79,79,39.5,20.94,7.87,18.89,0.417,0.8,2.75,0.29,4.39,5.82,0.754,1.25,4.22,5.47,5.89,1.65,0.73,3.46,1.89
Luka Doncic,2004-05,80,80,42.4,27.19,9.94,21.05,0.472,1.35,3.85,0.351,5.96,7.95,0.75,1.39,5.96,7.35,7.21,2.21,0.65,3.27,1.82
Damian Lillard,2005-06,79,79,42.5,31.37,11.08,23.08,0.48,1.61,4.8,0.335,7.61,10.3,0.738,0.95,6.09,7.04,6.59,1.56,0.84,3.29,2.29
Shai Gilgeous-Alexander,2006-07,78,78,40.9,27.33,9.9,20.78,0.476,1.27,3.97,0.319,6.27,8.99,0.698,1.06,5.68,6.74,6.03,1.6,0.71,3.21,2.19
Giannis Antetokounmpo,2007-08,75,74,40.4,30,10.59,21.89,0.484,1.51,4.79,0.315,7.32,10.28,0.712,1.77,6.12,7.89,7.19,1.84,1.08,3.4,2.2
Jayson Tatum,2008-09,81,81,37.7,28.44,9.74,19.91,0.489,1.63,4.74,0.344,7.33,9.41,0.78,1.31,6.26,7.57,7.25,1.69,1.15,2.98,1.72
Stephen Curry,2009-10,76,76,39,29.71,10.11,20.11,0.503,1.7,5.09,0.333,7.8,10.17,0.767,0.93,6.36,7.29,8.57,1.64,1.01,3.43,1.57
Kevin Durant,2010-11,79,79,38.8,26.72,9.59,18.78,0.511,1.16,3.53,0.33,6.37,8.39,0.759,1.01,6.46,7.47,7.01,1.57,0.63,3.59,2.06
LeBron James,2011-12,62,62,37.5,27.15,10.02,18.85,0.531,0.87,2.4,0.362,6.24,8.1,0.771,1.52,6.42,7.94,6.24,1.85,0.81,3.44,1.55
Donovan Mitchell,2012-13,76,76,37.9,26.79,10.07,17.82,0.565,1.36,3.34,0.406,5.3,7.04,0.753,1.28,6.75,8.03,7.25,1.7,0.88,2.97,1.45
Devin Booker,2013-14,77,77,37.7,27.13,9.96,17.57,0.567,1.51,3.97,0.379,5.7,7.6,0.75,1.05,5.87,6.92,6.34,1.57,0.34,3.51,1.64
Kyrie Irving,2014-15,69,69,36.1,25.26,9.04,18.54,0.488,1.74,4.91,0.354,5.43,7.65,0.71,0.74,5.29,6.03,7.41,1.58,0.71,3.94,1.96
Jaylen Brown,2015-16,76,76,35.6,25.26,9.7,18.63,0.52,1.14,3.71,0.309,4.72,6.46,0.731,1.46,5.97,7.43,6.76,1.37,0.64,3.28,1.88
Trae Young,2016-17,74,74,37.8,26.41,9.95,18.16,0.548,1.68,4.62,0.363,4.84,7.18,0.674,1.31,7.32,8.64,8.73,1.24,0.59,4.09,1.81
Ja Morant,2017-18,82,82,36.9,27.45,10.45,19.27,0.542,1.82,4.95,0.367,4.73,6.48,0.731,1.18,7.46,8.65,9.11,1.41,0.87,4.23,1.66
Anthony Davis,2018-19,55,55,35.2,27.36,10.15,19.91,0.51,2.02,5.95,0.339,5.05,7.6,0.665,1.04,7.42,8.45,8.25,1.31,0.6,3.58,1.71
Lauri Markkanen,2019-20,67,67,34.6,25.34,9.6,19.45,0.493,2.21,6.34,0.348,3.94,5.69,0.693,0.99,6.85,7.84,10.21,1.16,0.54,3.9,1.76
Julius Randle,2020-21,45,45,33.4,25.02,9.38,18.29,0.513,2.31,6.33,0.365,3.96,5.67,0.698,0.64,7.04,7.69,7.78,1.07,0.56,3.73,1.56
De'Aaron Fox,2021-22,56,56,37.2,30.27,11.43,21.8,0.524,2.88,8,0.359,4.54,6,0.756,1.12,7.07,8.2,6.23,1.3,1.05,3.5,2.16
Zach LaVine,2022-23,55,54,35.5,28.91,11.07,22.16,0.5,2.2,6.85,0.321,4.56,5.95,0.768,1.18,7.13,8.31,6.82,0.91,0.58,3.24,1.6
Joel Embiid,2017-18,79,71,33.4,20.46,7.53,17.24,0.437,2.37,6.96,0.34,3.03,3.76,0.805,0.66,3.09,3.75,3.68,1.49,0.34,2.72,2.7
Luka Doncic,2018-19,77,77,33.7,23.75,8.58,19.87,0.432,2.44,6.74,0.362,4.14,5.14,0.806,0.77,3.34,4.1,4.18,1.38,0.4,2.83,2.7
Damian Lillard,2019-20,69,69,34.3,23.99,8.72,19.45,0.449,2.51,6.86,0.366,4.03,4.67,0.863,0.77,3.64,4.41,4.26,1.01,0.2,2.67,2.49
Shai Gilgeous-Alexander,2020-21,53,53,33.4,26.43,9.02,20.58,0.438,3.36,8.7,0.386,5.04,5.96,0.845,0.94,3.49,4.43,5.23,0.98,0.28,2.77,2.21
Giannis Antetokounmpo,2021-22,67,67,33.8,25.87,9.21,20.54,0.448,3.46,9.76,0.355,3.99,4.67,0.853,0.82,3.39,4.21,5.34,1.48,0.18,2.99,2.45
Jayson Tatum,2022-23,68,68,35.8,28.26,9.99,20.62,0.484,3.6,9.34,0.386,4.69,5.41,0.867,0.93,3.32,4.25,4.43,1.46,0.4,2.65,2.47
Joel Embiid,2015-16,76,51,27.7,13.79,4.83,11.41,0.423,1.3,3.8,0.343,2.83,3.37,0.84,0.36,2.11,2.46,2.63,0.58,0.26,2.11,2.96
Luka Doncic,2016-17,78,78,35,22.13,7.77,18.35,0.423,1.88,5.19,0.363,4.71,5.65,0.832,0.59,2.6,3.19,3.44,0.92,0.27,3.09,3.1
Damian Lillard,2017-18,54,54,34.5,24.93,8.43,19.52,0.432,2.72,7.11,0.383,5.35,6.09,0.878,0.48,4.04,4.52,4.69,0.87,0.26,3.59,3.11
Shai Gilgeous-Alexander,2018-19,64,64,35,26.56,9.16,19.61,0.467,2.11,6.47,0.326,6.14,7.09,0.866,0.61,3.53,4.14,6.77,0.88,0.2,4.12,3.12
Giannis Antetokounmpo,2019-20,70,70,35.9,26.61,8.96,18.33,0.489,2.01,5.69,0.354,6.69,7.27,0.919,0.41,3.83,4.24,6.51,0.7,0.26,3.77,3.04
Jayson Tatum,2020-21,67,67,33.9,25.55,9.3,19.21,0.484,1.88,5.54,0.34,5.07,5.85,0.867,0.51,3.69,4.19,4.31,0.79,0.24,3.09,2.7
Stephen Curry,2021-22,68,68,34.5,26.79,9.74,20.9,0.466,2.69,7.03,0.383,4.63,5.34,0.868,0.66,4.37,5.03,4.84,1.13,0.38,2.38,2.65
Kevin Durant,2022-23,53,53,34.6,27.75,9.94,20.13,0.494,2.09,5.96,0.351,5.77,6.75,0.855,0.87,3.66,4.53,5.53,0.96,0.34,2.74,3
Joel Embiid,2011-12,51,51,30.5,18.51,6.86,14.65,0.469,1.43,3.59,0.399,3.35,3.84,0.872,0.86,2.88,3.75,5.39,1.06,0.39,3.14,2.16
Luka Doncic,2012-13,59,59,34.7,22.46,8.2,18.14,0.452,1.85,4.73,0.391,4.2,4.92,0.855,0.58,3.08,3.66,5.93,1.51,0.36,3.24,2.47
Damian Lillard,2013-14,71,71,35.2,20.82,7.49,17.42,0.43,1.73,4.85,0.358,4.1,4.76,0.861,0.73,2.92,3.65,6.1,1.52,0.32,2.68,2.3
Shai Gilgeous-Alexander,2014-15,75,75,36.4,21.71,7.71,16.47,0.468,2.09,5.04,0.415,4.2,4.87,0.863,0.73,2.43,3.16,5.19,1.52,0.27,2.48,1.95
Giannis Antetokounmpo,2015-16,53,53,31.5,19.64,7.43,16.58,0.448,1.58,4.92,0.322,3.19,3.6,0.885,0.83,2.13,2.96,4.7,1.06,0.34,2.34,2.02
Jayson Tatum,2016-17,72,72,35.1,25.22,9.32,19.72,0.473,2.46,6.12,0.401,4.12,4.56,0.905,0.72,2.47,3.19,5.81,1.15,0.33,2.5,2.18
Stephen Curry,2017-18,60,60,32.2,24.43,8.9,18.12,0.491,2.77,6.78,0.408,3.87,4.35,0.889,0.55,3.23,3.78,5.1,1.08,0.28,2.33,2.03
Kevin Durant,2018-19,67,67,33,23.82,9.01,18.52,0.487,2.6,6.48,0.401,3.19,3.66,0.873,1.06,3.94,5,6.93,1.54,0.51,2.57,2.49
LeBron James,2019-20,20,20,32.9,27.4,9.95,20.8,0.478,2.8,7.1,0.394,4.7,5.1,0.922,1.1,4.05,5.15,6.4,1.35,0.5,2.6,2.65
Donovan Mitchell,2020-21,54,54,34.9,26.87,10.17,20.11,0.506,2.81,7,0.402,3.72,4.04,0.922,0.96,3.8,4.76,6,1.41,0.69,2.41,2.59
Devin Booker,2021-22,29,29,37.6,27.45,9.97,21.24,0.469,3.45,8.24,0.418,4.07,4.45,0.915,0.55,3.83,4.38,5.76,1.41,0.59,2.52,2.79
Kyrie Irving,2022-23,60,60,37.3,27.05,9.9,20.05,0.494,3.13,8.27,0.379,4.12,4.55,0.905,0.98,4.08,5.07,5.52,1.1,0.75,2.13,2.75
Joel Embiid,2016-17,78,20,17.2,6.6,2.46,5.42,0.454,0.59,1.73,0.341,1.09,1.59,0.685,0.58,2.24,2.82,0.82,0.45,0.23,0.87,1.82
Luka Doncic,2017-18,70,70,30.7,14.53,5.33,11.47,0.465,1.73,4.37,0.395,2.14,3.33,0.644,0.94,4,4.94,1.63,1,0.37,1.77,2.59
Damian Lillard,2018-19,74,25,25.9,13.03,4.97,10.7,0.465,1.28,3.73,0.344,1.8,2.73,0.658,0.88,3.35,4.23,1.35,0.93,0.43,1.34,2.51
Shai Gilgeous-Alexander,2019-20,57,57,33.9,20.33,7.49,15.56,0.481,2.26,5.93,0.382,3.09,4.26,0.724,1.09,5.3,6.39,2.07,1.14,0.35,2.19,2.93
Giannis Antetokounmpo,2020-21,58,58,34.5,24.66,9.28,19.16,0.484,2.81,7.09,0.397,3.29,4.31,0.764,1.22,4.76,5.98,3.36,1.24,0.55,2.72,2.9
Jayson Tatum,2021-22,66,66,33.6,23.62,8.73,18.44,0.473,2.52,7.03,0.358,3.65,4.82,0.758,0.8,5.32,6.12,3.5,1.06,0.27,2.7,2.47
Stephen Curry,2022-23,67,67,35.9,26.63,10.13,20.64,0.491,2.43,7.27,0.335,3.93,5.13,0.765,1.16,5.69,6.85,3.46,1.12,0.39,2.94,2.57
Joel Embiid,2018-19,81,81,30.9,19.12,6.48,15.51,0.418,1.93,5.95,0.324,4.23,5.11,0.829,0.79,2.93,3.72,8.06,0.89,0.19,3.8,1.73
Luka Doncic,2019-20,60,60,35.3,29.63,9.1,20.82,0.437,3.42,9.47,0.361,8.02,9.32,0.86,0.53,3.72,4.25,9.33,1.08,0.13,4.82,1.73
Damian Lillard,2020-21,63,63,33.7,25.3,7.73,17.65,0.438,2.16,6.3,0.343,7.68,8.67,0.886,0.6,3.29,3.89,9.43,0.84,0.19,4.14,1.76
Shai Gilgeous-Alexander,2021-22,76,76,34.9,28.36,9.36,20.32,0.46,3.07,8.03,0.382,6.58,7.28,0.904,0.66,3.08,3.74,9.7,0.95,0.09,3.99,1.68
Giannis Antetokounmpo,2022-23,73,73,34.8,26.22,8.18,19.04,0.429,2.11,6.3,0.335,7.75,8.75,0.886,0.77,2.21,2.97,10.15,1.1,0.12,4.11,1.42
Joel Embiid,2019-20,67,67,31,17.81,6.67,13.99,0.477,0.9,2.67,0.335,3.57,4.6,0.776,0.76,3.1,3.87,7.28,0.87,0.27,3.28,1.64
Luka Doncic,2020-21,63,63,32.6,19.11,6.83,15.19,0.449,1.16,3.83,0.303,4.3,5.9,0.728,0.94,3.06,4,7.38,0.9,0.21,3.22,1.38
Damian Lillard,2021-22,57,57,33.1,27.44,10.18,20.65,0.493,1.54,4.49,0.344,5.54,7.28,0.761,1.35,4.35,5.7,6.74,1.16,0.39,3.44,1.51
Shai Gilgeous-Alexander,2022-23,61,59,31.9,26.16,9.28,19.9,0.466,1.51,4.92,0.307,6.1,8.15,0.748,1,4.85,5.85,8.08,1.08,0.26,3.38,1.64
Joel Embiid,2012-13,64,60,28.8,13.52,5.44,10.55,0.516,0,0.09,0,2.64,3.52,0.751,2.58,5.58,8.16,0.98,1.17,1.75,1.39,2.47
