Player,Year,GP,GS,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OFF,DEF,TRB,AST,STL,BLK,TOV,PF
Stephen Curry,2018-19,77,77,32.9,16.43,5.6,13.34,0.42,2.26,5.73,0.395,2.97,3.61,0.824,0.74,3.96,4.7,1.49,0.65,0.17,1.27,1.58
Kevin Durant,2019-20,72,72,34.5,14.53,5.07,11.01,0.46,1.42,3.72,0.381,2.97,3.71,0.801,1.07,3.86,4.93,2.21,0.6,0.17,1.22,1.29
LeBron James,2020-21,58,58,36.2,16.09,5.5,11.07,0.497,1.72,4.41,0.391,3.36,4.05,0.83,1.1,5.53,6.64,3.47,0.74,0.19,1.6,1.29
Donovan Mitchell,2021-22,77,77,33.6,16.43,5.08,10.83,0.469,1.84,4.68,0.394,4.43,5.36,0.826,1.06,4.55,5.61,2.42,0.69,0.18,1.53,1.22
Devin Booker,2022-23,82,82,32.5,15,4.56,9.65,0.473,1.61,4.3,0.374,4.27,5.04,0.847,1.06,3.4,4.46,1.56,0.7,0.12,1.05,1.26
Joel Embiid,2020-21,64,3,19.4,11.42,3.58,9.06,0.395,1.84,4.73,0.389,2.42,2.72,0.891,0.39,1.75,2.14,1.98,0.47,0.19,0.91,1.78
Luka Doncic,2021-22,78,3,23.1,11.31,3.64,9.28,0.392,1.76,5.08,0.346,2.27,2.58,0.881,0.4,2.77,3.17,3.53,0.69,0.04,1.27,2.14
Damian Lillard,2022-23,81,21,28.9,14.93,5.17,11.56,0.448,2.07,5.6,0.37,2.51,3.06,0.819,0.72,3.44,4.16,3.44,0.99,0.17,1.23,2.05
Joel Embiid,2016-17,75,28,26.4,10.23,3.87,8.47,0.457,1.04,2.57,0.404,1.45,1.68,0.865,0.63,2.21,2.84,4.23,1.12,0.16,1.51,1.87
Luka Doncic,2017-18,48,20,29.9,13.02,5.08,10.48,0.485,1.29,3.35,0.385,1.56,1.77,0.882,0.48,2.77,3.25,3.17,0.85,0.27,1.38,2.67
Damian Lillard,2018-19,64,64,28.6,15.64,5.91,11.69,0.505,1.62,3.81,0.426,2.2,2.38,0.928,1.02,3.48,4.5,3.2,0.72,0.2,1.42,1.59
Shai Gilgeous-Alexander,2019-20,54,54,30.9,16.54,6.04,13.78,0.438,1.39,4.26,0.326,3.07,3.44,0.892,0.85,4,4.85,7.06,0.65,0.19,2.43,1.81
Giannis Antetokounmpo,2020-21,56,56,34.5,21.18,7.93,17.5,0.453,2.59,6.68,0.388,2.73,3.16,0.864,1.04,4.21,5.25,5.88,0.88,0.27,2.05,1.96
Jayson Tatum,2021-22,36,36,33.5,19.08,6.75,15.08,0.448,1.61,5.17,0.312,3.97,4.64,0.856,0.92,4.22,5.14,5.89,0.83,0.39,2.14,1.97
Stephen Curry,2022-23,67,0,26,14.93,5.28,10.93,0.484,1.97,4.43,0.444,2.39,2.75,0.87,0.63,3.55,4.18,3.7,0.67,0.27,1.46,1.63
Joel Embiid,2021-22,72,13,20.7,9.61,3.46,7.29,0.474,0.4,1.62,0.248,2.29,3.22,0.711,1.92,3.54,5.46,2.57,0.82,0.94,2.01,2.97
Luka Doncic,2022-23,75,72,28.9,14.79,5.89,10.65,0.553,0.25,0.76,0.333,2.75,3.84,0.715,3.23,5.81,9.04,3.88,0.93,0.93,2.57,3.44
Joel Embiid,2011-12,42,9,11.4,4.95,1.88,4.02,0.467,0.14,0.55,0.261,1.05,1.29,0.815,0.71,1.69,2.4,0.52,0.31,0.17,0.74,1.07
Luka Doncic,2012-13,55,34,23.6,10.96,4.24,9.31,0.455,0.62,1.96,0.315,1.87,2.49,0.752,1.33,3.89,5.22,1.25,0.58,0.8,1.2,2.18
Damian Lillard,2013-14,61,36,30.3,14.64,5.44,11.74,0.464,0.52,2.07,0.254,3.23,4,0.807,1.44,5.51,6.95,1.34,0.67,0.39,1.28,2.34
Shai Gilgeous-Alexander,2014-15,68,63,34.8,17.12,6.5,13.96,0.466,1.28,3.51,0.364,2.84,3.6,0.788,1.07,5.25,6.32,1.82,1.01,0.53,1.69,1.97
Giannis Antetokounmpo,2015-16,76,74,33.1,14.68,5.49,11.7,0.469,1.05,3.14,0.335,2.66,3.2,0.831,1.28,5.45,6.72,2.22,0.86,0.53,1.42,2.01
Jayson Tatum,2016-17,82,48,31.3,16.11,6.23,12.98,0.48,1.33,3.84,0.346,2.32,2.76,0.841,0.78,4.3,5.09,1.73,0.73,0.48,1.17,1.62
Stephen Curry,2017-18,80,80,33.4,18.57,7.03,15.26,0.46,2.29,5.56,0.411,2.24,2.7,0.829,0.72,4.74,5.46,2.4,0.89,0.44,1.31,2.05
Kevin Durant,2018-19,82,82,34.7,20.05,7.45,15.29,0.487,1.9,4.79,0.397,3.24,3.74,0.866,0.84,7.02,7.87,2.79,0.62,0.45,1.84,2.24
LeBron James,2019-20,72,72,34.3,19.6,7.68,16.29,0.471,1.82,4.96,0.367,2.42,3,0.806,0.96,5.92,6.88,3.15,0.74,0.56,1.44,2.29
Donovan Mitchell,2020-21,62,62,32.5,19.52,7.63,14.9,0.512,1.32,3.35,0.394,2.94,3.29,0.892,1,5.76,6.76,3.55,0.89,0.82,1.73,1.92
Devin Booker,2021-22,73,73,34.8,17.22,6.75,14,0.482,1.38,3.77,0.367,2.33,2.77,0.842,1.05,5.74,6.79,3.45,0.64,0.59,1.59,2.25
Kyrie Irving,2022-23,74,74,32.9,14.66,5.72,11.42,0.501,1.7,4.38,0.389,1.53,1.74,0.876,0.91,4.82,5.73,2.51,0.92,0.54,1.2,2.01
Joel Embiid,2021-22,62,1,13.9,5.39,1.76,4.47,0.394,1.15,3,0.382,0.73,0.82,0.882,0.76,1.61,2.37,0.61,0.37,0.11,0.26,0.97
Luka Doncic,2022-23,79,65,31,14.53,4.9,10.13,0.484,2.56,6.29,0.406,2.18,2.41,0.905,0.75,2.81,3.56,1.42,1.13,0.54,0.77,1.96
Joel Embiid,2013-14,81,1,23.2,10.17,3.63,8.48,0.428,1.6,4.42,0.363,1.31,1.58,0.828,0.23,1.26,1.49,0.81,0.54,0.09,0.58,1.78
Luka Doncic,2014-15,70,30,24,11.49,3.99,10.24,0.389,1.73,5.06,0.342,1.79,2.23,0.801,0.17,2.06,2.23,1.81,0.29,0.2,1.17,1.7
Damian Lillard,2015-16,51,1,16.9,6.39,2.24,5.2,0.43,0.94,2.78,0.338,0.98,1.1,0.893,0.14,1.55,1.69,1,0.41,0.14,0.45,0.94
Shai Gilgeous-Alexander,2016-17,79,30,27.3,14.47,5.25,11.54,0.455,1.89,5.28,0.357,2.08,2.71,0.766,0.44,2.39,2.84,2.3,0.7,0.19,1.34,1.3
Giannis Antetokounmpo,2017-18,57,54,33.1,17.47,6.32,15.02,0.421,2.28,7.19,0.317,2.56,3.14,0.816,0.56,3.37,3.93,2.72,1.09,0.18,1.61,2.16
Jayson Tatum,2018-19,65,63,31.6,18.06,6,15.28,0.393,2.49,7.34,0.34,3.57,4.25,0.841,0.51,2.91,3.42,2.45,0.83,0.12,1.62,2.17
Stephen Curry,2019-20,71,58,29.5,15.79,5.41,12.45,0.434,2.87,7.23,0.398,2.1,2.56,0.819,0.35,2.92,3.27,1.93,0.58,0.07,0.97,1.76
Kevin Durant,2020-21,70,31,28.4,16.61,5.81,13.01,0.447,2.96,7.56,0.391,2.03,2.49,0.816,0.29,2.99,3.27,1.8,0.44,0.16,0.91,1.59
LeBron James,2021-22,42,20,29.6,14.24,4.98,12.62,0.394,2.43,7.24,0.336,1.86,2.45,0.757,0.31,3.4,3.71,2.19,0.9,0.14,0.81,1.76
Donovan Mitchell,2022-23,71,45,30.3,14.35,4.79,11.93,0.401,2.99,7.75,0.385,1.79,2.32,0.77,0.3,3.24,3.54,1.82,0.69,0.17,0.85,1.69
Joel Embiid,2017-18,82,74,28.7,10.95,4.15,9.41,0.44,1.15,3.22,0.356,1.51,2.02,0.747,0.6,2.54,3.13,1.65,0.89,0.21,1.51,2.84
Luka Doncic,2018-19,18,0,18.3,7.5,2.72,6.78,0.402,0.83,2.22,0.375,1.22,1.67,0.733,0.5,1.22,1.72,0.89,0.56,0.22,1.06,2.78
Damian Lillard,2019-20,73,73,28.9,16.18,5.96,14.63,0.407,2.01,5.63,0.358,2.25,2.78,0.808,0.93,2.4,3.33,2.05,0.86,0.37,1.7,3.81
Shai Gilgeous-Alexander,2020-21,67,67,29.8,17.18,6.45,15.39,0.419,1.91,5.55,0.344,2.37,2.91,0.815,0.79,2.13,2.93,2.34,1.16,0.39,1.78,3.54
Giannis Antetokounmpo,2021-22,32,31,27.7,18.44,7.09,16.44,0.432,1.44,4.66,0.309,2.81,3.31,0.849,0.91,2.28,3.19,2.75,1.12,0.25,1.56,3.28
Jayson Tatum,2022-23,73,73,30.3,14.34,5.37,13.58,0.396,1.96,6.01,0.326,1.64,2.11,0.779,0.62,2.73,3.34,2.59,0.89,0.22,1.42,3.29
Joel Embiid,2017-18,72,31,20,8.15,3.25,5.51,0.589,0.07,0.21,0.333,1.58,2.04,0.776,2,3.39,5.39,0.68,0.39,1.22,1.14,2.04
Luka Doncic,2018-19,80,80,26.2,10.91,4.19,7.1,0.59,0.07,0.56,0.133,2.46,3.48,0.709,2.39,6.01,8.4,1.38,0.54,1.5,1.29,2.3
Damian Lillard,2019-20,70,64,26.5,11.07,4.31,6.64,0.649,0,0.09,0,2.44,3.86,0.633,3.09,6.5,9.59,1.57,0.57,1.31,1.1,2.31
Shai Gilgeous-Alexander,2020-21,63,45,29.6,12.79,4.73,7.65,0.618,0.1,0.3,0.316,3.24,4.6,0.703,3.11,6.9,10.02,1.68,0.51,1.43,1.59,1.52
Giannis Antetokounmpo,2021-22,56,56,32.3,16.14,6.59,9.73,0.677,0.02,0.18,0.1,2.95,4.16,0.708,3.43,7.32,10.75,1.64,0.79,1.34,1.68,1.73
Jayson Tatum,2022-23,68,68,32.6,14.25,5.93,9.21,0.644,0.01,0.15,0.1,2.38,3.25,0.733,3.25,6.54,9.79,1.66,0.79,1.24,1.37,2.25
Joel Embiid,2012-13,62,57,23.9,8.94,3.29,5.92,0.556,0,0.02,0,2.35,2.98,0.789,1.95,4.05,6,0.73,0.27,1.26,1.52,3.03
Luka Doncic,2013-14,81,81,28.2,11.31,4.43,8.35,0.531,0,0.01,0,2.44,3.21,0.762,2.79,6.02,8.81,0.7,0.3,0.88,1.68,3.07
Damian Lillard,2014-15,80,80,26.2,12.04,4.66,8.15,0.572,0,0.01,0,2.71,3.45,0.786,2.69,5.97,8.66,0.49,0.41,1.19,1.36,2.77
Shai Gilgeous-Alexander,2015-16,60,59,25.9,12.8,5.05,8.93,0.565,0,0,0,2.7,3.55,0.761,3.07,6.05,9.12,0.7,0.42,1.33,1.42,2.63
Giannis Antetokounmpo,2016-17,80,80,25.8,11.99,4.89,8.78,0.557,0.01,0.03,0.5,2.2,2.71,0.811,2.83,6.66,9.49,0.71,0.46,0.79,1.32,2.7
Jayson Tatum,2017-18,77,77,22.4,12.73,5.06,8.92,0.568,0.39,0.96,0.405,2.21,2.74,0.806,2.38,6.19,8.57,1.05,0.38,0.9,1.49,2.49
Stephen Curry,2018-19,49,27,22.3,15.57,6.14,10.98,0.559,0.29,0.98,0.292,3,3.78,0.795,2.16,6.39,8.55,1.43,0.39,1.08,1.84,2.98
Kevin Durant,2019-20,70,70,26.4,14.91,6.17,10.56,0.585,0.46,1.3,0.352,2.11,2.86,0.74,3.04,8.21,11.26,1.87,0.43,1.09,1.81,2.64
LeBron James,2020-21,62,61,28.3,17.06,7.1,11.98,0.592,0.34,0.92,0.368,2.53,3.27,0.773,4.08,8.44,12.52,1.81,0.56,0.92,1.61,2.89
Donovan Mitchell,2021-22,74,74,30.3,17.76,6.89,12.68,0.544,0.77,2.14,0.361,3.2,3.91,0.82,3.05,8.34,11.39,2.57,0.55,0.81,2.42,3.34
Devin Booker,2022-23,79,79,24.9,14.11,5.65,10.33,0.547,0.48,1.38,0.349,2.34,2.84,0.826,2.85,7.33,10.18,1.77,0.25,0.66,2.01,3.1
Joel Embiid,2015-16,62,4,17.8,7.03,3,7.03,0.427,0.26,0.84,0.308,0.77,1.06,0.727,1.98,3.45,5.44,0.84,0.4,0.35,0.87,1.61
Luka Doncic,2016-17,64,13,15.6,6.83,2.86,5.86,0.488,0.5,1.5,0.333,0.61,0.92,0.661,1.17,3.45,4.62,0.55,0.25,0.17,0.58,1.47
Damian Lillard,2017-18,73,4,22.5,13.21,5.23,11.11,0.471,1.1,3.05,0.359,1.64,2.14,0.769,2.18,4.64,6.82,1.68,0.68,0.32,1.41,1.78
Shai Gilgeous-Alexander,2018-19,50,28,26,14.2,5.58,12.56,0.444,1.5,3.82,0.393,1.54,1.94,0.794,2.18,5.88,8.06,1.44,0.7,0.4,1.48,2.9
Giannis Antetokounmpo,2019-20,66,5,21.1,10.12,4.02,8.92,0.45,1.02,2.83,0.358,1.08,1.41,0.763,1.21,3.91,5.12,1.48,0.48,0.27,1.11,1.67
Jayson Tatum,2020-21,66,7,20.8,11.42,4.74,9.06,0.523,1.12,2.38,0.471,0.82,1.11,0.74,1.88,5.18,7.06,1.08,0.79,0.39,0.85,1.74
Stephen Curry,2021-22,72,59,28.2,14.61,5.79,12.1,0.479,1.85,4.69,0.393,1.18,1.57,0.752,2.5,6.62,9.12,1.19,0.74,0.71,1.25,2.42
Kevin Durant,2022-23,70,22,26,14.1,5.69,11.47,0.496,1.36,3.67,0.37,1.37,1.79,0.768,2.2,7.4,9.6,1.5,0.41,0.23,1.16,1.64
Joel Embiid,2022-23,75,62,30.3,14.08,5.52,10.59,0.521,0.97,2.73,0.356,2.07,2.55,0.812,1.12,3.37,4.49,3.31,1.37,0.47,1.64,2.55
Joel Embiid,2017-18,78,52,27.9,11.76,4.41,9.9,0.446,1.65,4.22,0.392,1.28,1.53,0.84,0.4,2.46,2.86,3.31,0.92,0.21,1.6,2.21
Luka Doncic,2018-19,70,17,27.8,14.14,5.16,12.33,0.418,1.91,5.31,0.36,1.91,2.31,0.827,0.57,2.9,3.47,3.81,1.03,0.21,1.67,2.03
Damian Lillard,2019-20,61,28,28.9,15.15,5.52,12.56,0.44,2.69,7.23,0.372,1.41,1.9,0.741,0.43,2.97,3.39,3.39,1.05,0.25,1.67,2.18
Shai Gilgeous-Alexander,2020-21,44,27,29.7,16.36,6.07,12.84,0.473,3.32,7.57,0.438,0.91,1,0.909,0.45,3.18,3.64,3.34,1.11,0.3,1.23,2.25
Giannis Antetokounmpo,2021-22,63,27,29.3,15.08,5.43,12.6,0.431,2.68,7.29,0.368,1.54,1.83,0.843,0.46,3.51,3.97,3.08,1.08,0.22,1.11,2.1
Jayson Tatum,2022-23,54,9,27.9,14,5.06,11.31,0.447,2.7,6.67,0.406,1.19,1.43,0.831,0.43,2.63,3.06,2.78,0.8,0.33,1.2,1.59
Joel Embiid,2017-18,14,0,18.1,7.14,3.21,7.93,0.405,0,0.07,0,0.71,1.5,0.476,0.86,2.29,3.14,3.79,0.79,0.29,1.21,1.57
Luka Doncic,2018-19,19,15,22.5,8.16,3.42,8.16,0.419,0.21,0.74,0.286,1.11,1.95,0.568,1.37,2.32,3.68,3.11,0.89,0.26,1.32,2.74
Damian Lillard,2019-20,72,60,27.7,12.08,4.99,10.72,0.465,0.5,1.88,0.267,1.61,2.21,0.73,0.57,2.74,3.31,5.12,1.25,0.15,2.04,1.97
Shai Gilgeous-Alexander,2020-21,8,8,26.9,12.88,5.12,13,0.394,0.5,2,0.25,2.12,2.38,0.895,0.62,2.5,3.12,5.38,1,0.25,2.25,2.25
Giannis Antetokounmpo,2021-22,18,3,20,10.83,4.61,9.72,0.474,0.22,0.94,0.235,1.39,1.72,0.806,0.22,2.5,2.72,5.5,1.11,0.28,2.22,1.22
Jayson Tatum,2022-23,60,60,29.6,13.95,5.82,11.32,0.514,0.45,1.45,0.31,1.87,2.38,0.783,1.15,2.75,3.9,5.68,1.45,0.43,2.32,2.18
Joel Embiid,2005-06,78,78,36,16.13,5.22,12.14,0.43,0.64,2.27,0.282,5.05,5.96,0.847,0.78,4.35,5.13,7.83,2.24,0.08,2.35,2.79
Luka Doncic,2006-07,64,64,36.8,17.25,5.95,13.61,0.437,0.78,2.23,0.35,4.56,5.58,0.818,0.84,3.53,4.38,8.89,1.84,0.05,2.52,2.41
Damian Lillard,2007-08,80,80,37.6,21.05,7.88,16.14,0.488,1.15,3.11,0.369,4.15,4.88,0.851,0.78,3.24,4.01,11.56,2.71,0.05,2.51,2.31
Shai Gilgeous-Alexander,2008-09,78,78,38.5,22.83,8.09,16.09,0.503,0.82,2.26,0.364,5.83,6.72,0.868,0.88,4.65,5.54,11.04,2.77,0.13,2.96,2.72
Giannis Antetokounmpo,2009-10,45,45,38.1,18.69,6.98,14.16,0.493,1.16,2.82,0.409,3.58,4.22,0.847,0.44,3.8,4.24,10.67,2.13,0.18,2.49,2.62
Jayson Tatum,2010-11,80,80,36,15.85,5.38,11.6,0.463,0.89,2.29,0.388,4.21,4.8,0.878,0.47,3.61,4.09,9.78,2.35,0.06,2.21,2.45
Stephen Curry,2011-12,60,60,36.3,19.82,7.08,14.83,0.478,1.32,3.55,0.371,4.33,5.03,0.861,0.7,2.85,3.55,9.05,2.53,0.07,2.07,2.3
Kevin Durant,2012-13,70,70,33.4,16.94,5.89,12.23,0.481,1.09,3.31,0.328,4.09,4.61,0.885,0.76,2.99,3.74,9.69,2.41,0.14,2.27,2.04
LeBron James,2013-14,62,62,35,19.11,6.55,14.03,0.467,1.26,3.42,0.368,4.76,5.56,0.855,0.61,3.71,4.32,10.69,2.48,0.06,2.34,2.53
Donovan Mitchell,2014-15,82,82,34.8,19.07,6.93,14.27,0.485,1.7,4.26,0.398,3.52,3.91,0.9,0.63,3.95,4.59,10.22,1.9,0.18,2.32,2.48
Devin Booker,2015-16,74,74,32.7,19.54,6.96,15.05,0.462,1.65,4.45,0.371,3.97,4.43,0.896,0.53,3.66,4.19,9.97,2.05,0.18,2.62,2.5
Kyrie Irving,2016-17,61,61,31.5,18.1,6.13,12.87,0.476,2.03,4.95,0.411,3.8,4.26,0.892,0.66,4.33,4.98,9.23,1.95,0.13,2.41,2.39
Jaylen Brown,2017-18,58,58,31.8,18.64,6.33,13.76,0.46,2.48,6.53,0.38,3.5,3.81,0.919,0.64,4.76,5.4,7.88,1.66,0.24,2.21,2.43
Trae Young,2018-19,58,58,32,15.62,5.21,12.41,0.419,2.19,6.12,0.358,3.02,3.5,0.862,0.62,3.95,4.57,8.16,1.97,0.31,2.62,2.52
Ja Morant,2019-20,70,70,31.5,17.6,6.2,12.67,0.489,1.59,4.34,0.365,3.61,3.99,0.907,0.37,4.61,4.99,6.74,1.59,0.16,2.3,2.26
Anthony Davis,2020-21,70,70,31.4,16.41,6.27,12.56,0.499,1.46,3.69,0.395,2.41,2.59,0.934,0.36,4.1,4.46,8.89,1.41,0.27,2.23,2.37
Lauri Markkanen,2021-22,65,65,32.9,14.74,5.58,11.32,0.493,0.97,3.06,0.317,2.6,3.11,0.837,0.34,4.02,4.35,10.8,1.86,0.31,2.35,2.06
Julius Randle,2022-23,59,59,32,13.88,4.98,11.32,0.44,1.66,4.42,0.375,2.25,2.71,0.831,0.46,3.8,4.25,8.88,1.54,0.37,1.93,2.14
Joel Embiid,2020-21,70,53,27.3,12.24,3.99,9.87,0.404,2.5,6.57,0.38,1.77,2.1,0.844,0.61,3.93,4.54,1.36,0.74,0.2,0.86,1.57
Luka Doncic,2021-22,82,82,33,16.11,5.49,13.85,0.396,2.57,7.44,0.346,2.56,3.1,0.827,1.3,4.07,5.38,2.84,0.89,0.2,1.17,1.56
Damian Lillard,2022-23,77,37,27.6,13.79,4.58,10.86,0.422,1.96,5.43,0.361,2.66,3.09,0.861,1.27,3.43,4.7,1.53,0.91,0.17,0.92,1.6
Joel Embiid,2019-20,36,28,22.8,6.78,2.39,6.06,0.394,0.83,2.81,0.297,1.17,1.47,0.792,0.67,1.58,2.25,0.75,0.86,0.11,0.61,2.69
Luka Doncic,2020-21,52,52,29.7,14.02,4.75,12.29,0.387,2.17,6.33,0.343,2.35,3.15,0.744,0.73,2.9,3.63,1.69,0.87,0.37,1.52,2.58
Damian Lillard,2021-22,51,51,32.7,17.2,5.75,14.24,0.404,2.55,7.67,0.332,3.16,3.75,0.843,0.75,3.41,4.16,1.73,0.9,0.35,1.73,2.92
Shai Gilgeous-Alexander,2022-23,74,73,30.7,13.69,4.58,11.8,0.388,1.82,5.53,0.33,2.7,3.5,0.772,1.73,2.92,4.65,2.08,1.01,0.31,1.24,3.28
Joel Embiid,2017-18,63,0,13.5,6.68,2.43,6.75,0.36,1.32,3.86,0.342,0.51,0.6,0.842,0.13,0.92,1.05,1.44,0.32,0.14,0.78,0.95
Luka Doncic,2018-19,73,0,17.2,8.95,3.11,8.03,0.387,1.49,4.52,0.33,1.23,1.4,0.882,0.22,1.66,1.88,1.6,0.51,0.26,1.18,1.45
Damian Lillard,2019-20,55,1,21.3,10.25,3.85,8.87,0.434,1.05,3.71,0.284,1.49,1.82,0.82,0.49,2.36,2.85,2.07,0.45,0.29,1.4,1.35
Shai Gilgeous-Alexander,2020-21,42,0,20.9,11.67,4.12,9.5,0.434,2.02,5.05,0.401,1.4,1.71,0.819,0.33,2.07,2.4,2.07,0.45,0.1,1.31,1.12
Giannis Antetokounmpo,2021-22,76,37,28.1,13.79,5.14,10.87,0.473,2.28,5.82,0.391,1.22,1.54,0.795,0.49,2.88,3.37,2.87,0.8,0.38,1.61,1.82
Jayson Tatum,2022-23,77,0,22.3,13.52,4.64,10.34,0.448,1.86,5.17,0.359,2.39,2.69,0.889,0.42,2.22,2.64,3.87,0.64,0.26,1.9,1.62
Joel Embiid,2013-14,45,0,9.6,2.31,0.8,1.64,0.486,0,0,0,0.71,1.44,0.492,1.13,2.31,3.44,0.16,0.18,0.91,0.71,1.27
Luka Doncic,2014-15,82,37,26.3,8.37,3.15,5.21,0.604,0,0.02,0,2.07,3.33,0.623,3.23,6.22,9.45,1.33,0.78,2.3,1.35,2.13
Damian Lillard,2015-16,61,60,31.7,9.13,3.25,5.8,0.559,0,0,0,2.64,4.64,0.569,3.41,7.54,10.95,1.49,0.74,2.21,1.87,2.67
Shai Gilgeous-Alexander,2016-17,81,81,33.9,14.04,5.1,7.72,0.661,0,0.01,0,3.84,5.88,0.653,3.88,8.9,12.78,1.2,0.6,2.64,1.81,3.04
Giannis Antetokounmpo,2017-18,56,56,32.4,13.5,4.93,7.93,0.622,0,0,0,3.64,5.34,0.682,2.95,7.79,10.73,1.43,0.79,2.3,1.91,2.73
Jayson Tatum,2018-19,81,80,31.8,15.85,5.88,8.79,0.669,0,0,0,4.1,6.44,0.636,3.81,9.04,12.85,1.99,0.81,2.31,1.6,2.85
Stephen Curry,2019-20,68,68,34.3,15.09,5.68,8.19,0.693,0,0,0,3.74,5.93,0.63,3.38,10.09,13.47,1.49,0.75,1.99,1.91,3.16
Kevin Durant,2020-21,71,71,30.8,14.3,5.51,8.15,0.675,0,0.06,0,3.28,5.27,0.623,3.38,10.14,13.52,1.25,0.56,2.68,1.66,2.3
LeBron James,2021-22,66,66,32.1,15.56,5.48,7.7,0.713,0,0.06,0,4.59,6.65,0.69,3.65,11.02,14.67,1.09,0.68,2.08,1.8,2.67
Donovan Mitchell,2022-23,70,70,30.7,13.41,5.14,7.8,0.659,0,0.04,0,3.13,4.86,0.644,3.3,8.33,11.63,1.24,0.8,1.36,1.74,3
Joel Embiid,2017-18,74,26,24.1,10.5,4.24,7.36,0.576,0.22,0.64,0.34,1.8,2.51,0.715,2.38,4.93,7.31,1.32,0.64,1.08,1.42,2.91
Luka Doncic,2018-19,61,59,30,19.48,7.62,13.62,0.56,0.9,2.59,0.348,3.33,4.36,0.763,3.59,6.16,9.75,1.98,0.36,0.64,1.97,3.26
Damian Lillard,2019-20,41,41,33.2,21.59,8.61,14.76,0.583,1.44,3.59,0.401,2.93,3.66,0.8,2.83,7.32,10.15,1.46,0.76,1.61,1.83,3.37
Shai Gilgeous-Alexander,2020-21,63,63,29.3,17.63,6.81,12.24,0.556,1.32,3.3,0.399,2.7,3.24,0.833,1.87,5.54,7.41,1.24,0.54,1,1.33,3.06
Giannis Antetokounmpo,2021-22,54,53,30.8,16.22,6.28,11.93,0.526,1.19,3.26,0.364,2.48,3.13,0.793,1.72,6.09,7.81,1.81,0.61,1.04,1.11,3.04
Jayson Tatum,2022-23,71,71,30,13.11,5.06,9.96,0.508,0.99,3.38,0.292,2.01,2.51,0.803,1.08,5.42,6.51,1.2,0.59,1.03,1.11,3.1
Joel Embiid,2020-21,47,34,27.1,12.87,4.66,11.74,0.397,1.23,3.66,0.337,2.32,2.79,0.832,0.81,3.89,4.7,4.09,0.64,0.38,2.26,2.09
Luka Doncic,2021-22,65,65,31.7,16.34,5.49,14.03,0.391,2.03,6.02,0.338,3.32,3.89,0.854,0.49,4.86,5.35,5.68,0.71,0.26,2.62,2.63
Damian Lillard,2022-23,60,4,25.9,13.02,4.62,10.17,0.454,1.25,3.43,0.364,2.53,2.83,0.894,0.78,4.02,4.8,3.92,0.62,0.52,1.52,2.63
Joel Embiid,2021-22,61,19,23.2,7.28,2.39,5.21,0.459,0.87,2.74,0.317,1.62,1.93,0.839,0.74,2.43,3.16,1.8,0.48,0.33,0.66,1.43
Luka Doncic,2022-23,64,22,28.8,13.02,4.05,7.66,0.529,1.34,3.38,0.398,3.58,4.14,0.864,0.52,2.5,3.02,3.36,0.52,0.3,1.55,1.69
Joel Embiid,2020-21,37,1,7.3,2.54,1,2.11,0.474,0.08,0.14,0.6,0.46,0.51,0.895,0.22,0.35,0.57,1.05,0.22,0,0.35,0.35
Luka Doncic,2021-22,69,11,16.6,5.99,2.41,4.91,0.49,0.14,0.74,0.196,1.03,1.32,0.78,0.42,1.83,2.25,3.38,0.61,0.1,0.67,1.13
Damian Lillard,2022-23,68,65,29.2,12.87,5.01,10.93,0.459,0.66,2.32,0.285,2.18,2.53,0.86,0.82,2.78,3.6,6.59,1.31,0.13,1.62,1.44
